VEH_ID,REG_NO,VEHICLE_TYPE,MAKE,MODEL,YEAR,OWNER,USED_FOR
LR-01,AAW-20-9370,Loader Rickshaw,RP110EN71082,RP1066766,,,Door to Door (Residential)
LR-02,ABL-20-8596,Loader Rickshaw,U728846,US100752390,,UC-74,Door to Door (Residential)
LR-03,ACX-2631,Loader Rickshaw,U400918,US100426391,,UC-74,Door to Door (Residential)
LR-04,AEY-21-1508,Loader Rickshaw,U489838,US100514636,,UC-75,Door to Door (Residential)
LR-05,AGN-3558,Loader Rickshaw,U727929,US100750304,,UC-75,Door to Door (Residential)
LR-06,AHA-9686,Loader Rickshaw,U295979,US100324360,,UC-75,Door to Door (Residential)
LR-07,AJH-5848,Loader Rickshaw,U384721,US100410265,,UC-76,Door to Door (Residential)
LR-08,AJT-4047,Loader Rickshaw,U313241,US100340733,,UC-76,Door to Door (Residential)
LR-09,AKZ-2633,Loader Rickshaw,U535557,US100560608,,UC-76,Door to Door (Residential)
LR-10,AMG-22-6643,Loader Rickshaw,SR152FMH618110901,SR1102780103,,UC-77,Door to Door (Residential)
LR-11,APH-22-6073,Loader Rickshaw,U556907,US100-581925,,UC-77,Door to Door (Residential)
LR-12,APJ-12-8380,Loader Rickshaw,TBM30138,TBM100C301355,,UC-78,Door to Door (Residential)
LR-13,FDY-15-2582,Loader Rickshaw,U223119,US100252904,,UC-78,Door to Door (Residential)
LR-14,FDY-16-4234,Loader Rickshaw,162FMJJ1056347,LF3CK305JP0020,,UC-79,Door to Door (Residential)
LR-15,FDY-16-6517,Loader Rickshaw,U915680,US100938438,,UC-79,Door to Door (Residential)
LR-16,FDY-16-7848,Loader Rickshaw,U56608,US10059181,,UC-79,Door to Door (Residential)
LR-17,FDY-16-9714,Loader Rickshaw,U366783,US100393082,,UC-80,Door to Door (Residential)
LR-18,FDY-17-2913,Loader Rickshaw,U724899,US1007477309,,UC-80,Door to Door (Residential)
LR-19,FDY-17-5153,Loader Rickshaw,ZS162FMJL8NM10604,LZSHCKJXM800,,UC-81,Door to Door (Residential)
LR-20,FDY-17-9776,Loader Rickshaw,U894054,US100917004,,UC-81,Door to Door (Residential)
LR-21,FDY-18-4380,Loader Rickshaw,U693130,US100716332,,UC-82,Door to Door (Residential)
LR-22,FDQ-14-6230,Loader Rickshaw,U498143,US100522767,,UC-82,Door to Door (Residential)
LR-23,FDQ-14-6239,Loader Rickshaw,ZS162FMJL8N70063,NACLA1035596,,UC-82,Door to Door (Residential)
LR-24,FDQ-14-6248,Loader Rickshaw,U791394,US100815276,,UC-83,Door to Door (Residential)
LR-25,FDQ-15-0410,Loader Rickshaw,U1053,US100-32501,,UC-83,Door to Door (Residential)
LR-26,FDR-10-4583,Loader Rickshaw,U842800,US1008679606,,UC-84,Door to Door (Residential)
LR-27,FDR-10-8594,Loader Rickshaw,U720176,US100744155,,UC-84,Door to Door (Residential)
LR-28,FDR-11-2192,Loader Rickshaw,U335200,US100361602,,UC-84,Door to Door (Residential)
LR-29,FDR-11-5408,Loader Rickshaw,C00915,C00915,,UC-85,Door to Door (Residential)
LR-30,FDR-14-8329,Loader Rickshaw,U945339,US100968133,,UC-85,Door to Door (Residential)
LR-31,FDR-16-5915,Loader Rickshaw,U818615,US100841625,,UC-85,Door to Door (Residential)
LR-32,FDR-17-1375,Loader Rickshaw,U162740,US100193582,,UC-86,Door to Door (Residential)
LR-33,FDR-17-2918,Loader Rickshaw,U957902,US100-980550,,UC-86,Door to Door (Residential)
LR-34,AQA-4931,Loader Rickshaw,U222911,US100-252652,,UC-86,Door to Door (Residential)
LR-35,AQN-8318,Loader Rickshaw,U892142,US100-915129,,UC-87,Door to Door (Residential)
LR-36,ASK-5434,Loader Rickshaw,ZS162FMJL8M501211,CL83501211,,UC-88,Door to Door (Residential)
LR-37,ASZ-23-9397,Loader Rickshaw,U782367,US100803529,,UC-88,Door to Door (Residential)
LR-38,ATL-24-6645,Loader Rickshaw,U509715,US100534912,,UC-89,Door to Door (Residential)
